text,cleaned_text,tokenized_and_lemmatized,sentiment
"A statement from psychoanalytic activists:  The BIPOCanalysis Collective: Statement ""Toward Liberation Palestine"" https://psychoanalyticactivist.com/2023/10/13/the-bipocanalysis-collective-statement-toward-liberation-palestine/",A statement from psychoanalytic activists The BIPOCanalysis Collective Statement Toward Liberation Palestine,statement psychoanalytic activist bipocanalysis collective statement toward liberation palestine,Neutral
Check out 🏒 35 + different ERIK KARLSSON cards lot 2010 - 2018 all Senators https://www.ebay.com/itm/175873598140?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=Z1DaHEQgTUq&sssrc=2047675&ssuid=Z1DaHEQgTUq&widget_ver=artemis&media=TW #eBay via @eBay Israel Gaza Hamas #AsianGames Steve Cohen Klaus Schwab Tel Aviv Nebraska Palestinian Kansas State OTEV Lido #SmackDown #isles Hockey NHL MLB NFL NBA,Check out 35 different ERIK KARLSSON cards lot 2010 2018 all Senators ebay via eBay Israel Gaza Hamas asian games Steve Cohen Klaus Schwab Tel Aviv Nebraska Palestinian Kansas State OTEV Lido smackdown isles Hockey NHL MLB NFL NBA,check different erik karlsson card lot senator ebay via ebay israel gaza hamas asian game steve cohen klaus schwab tel aviv nebraska palestinian kansa state otev lido smackdown isle hockey nhl mlb nfl nba,Neutral
"AW OKAY.. WELL THATS COOL, IM SURE PAL WILL APPRECIATE MY COLLECTION!",AW OKAY WELL THATS COOL IM SURE PAL WILL APPRECIATE MY COLLECTION,aw okay well thats cool im sure pal appreciate collection,Positive
"What you said to Eylon, that “Palestinian lives are not as important as Israeli hostages” is absolutely ABHORRENT! How dare you even ask him that? Think logically, for Israel to get back 50 innocent civilians, kidnapped, the Israelis have had to hand over 150 CONVICTED CRIMINALS",What you said to Eylon that Palestinian lives are not as important as Israeli hostages is absolutely ABHORRENT How dare you even ask him that Think logically for Israel to get back 50 innocent civilians kidnapped the Israelis have had to hand over 150 CONVICTED CRIMINALS,said eylon palestinian life important israeli hostage absolutely abhorrent dare even ask think logically israel get back innocent civilian kidnapped israeli hand convicted criminal,Negative
oh lord uhm gimme a moment,oh lord uhm gimme a moment,oh lord uhm gim moment,Neutral
"Israel killed the son of Lebanese MP Mohammad Raad, the head of the Loyalty Bloc of the Lebanese Resistance - Hezbollah.   Here is a video of Raad mourning his son.   Compare his calm words calling for a better world and expressing strength to the dark vengeful murderous rhetoric you hear from Israeli officials.  “We are steadfast on this path …  we want honor and dignity for our people and nation and this world.”  Subs by @xpmov",Israel killed the son of Lebanese MP Mohammad Raad the head of the Loyalty Bloc of the Lebanese Resistance Hezbollah Here is a video of Raad mourning his son Compare his calm words calling for a better world and expressing strength to the dark vengeful murderous rhetoric you hear from Israeli officials We are steadfast on this path we want honor and dignity for our people and nation and this world Subs by xpmov,israel killed son lebanese mp mohammad raad head loyalty bloc lebanese resistance hezbollah video raad mourning son compare calm word calling better world expressing strength dark vengeful murderous rhetoric hear israeli official steadfast path want honor dignity people nation world sub xpmov,Positive
Oh! And the MSM reported that Israeli bombed a hospital and they didn't. Where's the retraction? It's okay to tell alie about Israel but not about The terrorists?,Oh And the MSM reported that Israeli bombed a hospital and they didn t Where s the retraction It s okay to tell alie about Israel but not about The terrorists,oh msm reported israeli bombed hospital retraction okay tell alie israel terrorist,Negative
I thought all tunnels are connected … the command and control is not ? This makes it a trap ?! The cable of the AC id not connected ?!,I thought all tunnels are connected the command and control is not This makes it a trap The cable of the AC id not connected,thought tunnel connected command control make trap cable ac id connected,Negative
"Don’t let the smile deceive you - he was a baby killer and active participant in the genocide in Gaza.   Tonight, it has been reported (source: Israel National News), IDF Staff Sergeant Eitan Dov Rosenzweig, of the Givati Brigade Shaked Battalion, has been laid to rest by the Gazans.  May his memory be a reminder that illegal occupation has consequences -  and may it plant seeds of peace and humanity into genocidal Israel.",Don t let the smile deceive you he was a baby killer and active participant in the genocide in Gaza Tonight it has been reported source Israel National News IDF Staff Sergeant Eitan Dov Rosenzweig of the Givati Brigade Shaked Battalion has been laid to rest by the Gazans May his memory be a reminder that illegal occupation has consequences and may it plant seeds of peace and humanity into genocidal Israel,let smile deceive baby killer active participant genocide gaza tonight reported source israel national news idf staff sergeant eitan dov rosenzweig givati brigade shaked battalion laid rest gazans may memory reminder illegal occupation consequence may plant seed peace humanity genocidal israel,Negative
"#Hamas founder Mahmoud al-Zahar, in his own words:  ""For us #Palestine is like a toothpick for cleaning our teeth, because we have a much bigger plan""  He points at the globe laughing and says:  ""#Palestine does not exist on the map""",hamas founder Mahmoud al Zahar in his own words For us palestine is like a toothpick for cleaning our teeth because we have a much bigger plan He points at the globe laughing and says palestine does not exist on the map,hamas founder mahmoud al zahar word u palestine like toothpick cleaning teeth much bigger plan point globe laughing say palestine exist map,Positive
"Unlike israel, Malaysia and Singapore is the example of two states solution that actually works. We gave them their own sovereign state in 1965 and we also dont bomb them every now and then.",Unlike israel Malaysia and Singapore is the example of two states solution that actually works We gave them their own sovereign state in 1965 and we also dont bomb them every now and then,unlike israel malaysia singapore example two state solution actually work gave sovereign state also dont bomb every,Positive
"Average israel supporters 👇👇👇👇 You guys didn't even see my DM, that's a whole other story  These Anti-semitic demons must be banned from Twitter",Average israel supporters You guys didn t even see my DM that s a whole other story These Anti semitic demons must be banned from Twitter,average israel supporter guy even see dm whole story anti semitic demon must banned twitter,Negative
"We know that #Hamas took prisoners on 7 October, including civilians.  Do you know where & how #Israel took 150 children & women under 18 (only 8 over that age) to be released tomorrow?  Just ask yourself this question & you will understand the 7th of October attack.",We know that hamas took prisoners on 7 October including civilians Do you know where how israel took 150 children women under 18 only 8 over that age to be released tomorrow Just ask yourself this question you will understand the 7th of October attack,know hamas took prisoner october including civilian know israel took child woman age released tomorrow ask question understand october attack,Negative
"I figured it out we can get white people on board if we say free Palestine like ""sweet Caroline""",I figured it out we can get white people on board if we say free Palestine like sweet Caroline,figured get white people board say free palestine like sweet caroline,Positive
It’s a bad deal for Israel.,It s a bad deal for Israel,bad deal israel,Negative
Hey @bbcnews + the rest  Remember last week?   You printed endless stories given to you by the Head of Shifa hospital & we would scream that you were spreading Hamas propaganda.    And you just ignored us all.  Well Israel just arrested him as Hamas!    DO YOU HAVE ANY COMMENT?,Hey bbcnews the rest Remember last week You printed endless stories given to you by the Head of Shifa hospital we would scream that you were spreading Hamas propaganda And you just ignored us all Well Israel just arrested him as Hamas DO YOU HAVE ANY COMMENT,hey bbcnews rest remember last week printed endless story given head shifa hospital would scream spreading hamas propaganda ignored u well israel arrested hamas comment,Negative
"BREAKING:  🇨🇳China slaps genocidal 🇮🇱Israel, who no longer respect anything in the UN assembly",BREAKING China slaps genocidal Israel who no longer respect anything in the UN assembly,breaking china slap genocidal israel longer respect anything un assembly,Positive
"Malcolm X gives the perfect description of what ultimate victory for any liberation movement, including that of Palestine, looks like",Malcolm X gives the perfect description of what ultimate victory for any liberation movement including that of Palestine looks like,malcolm x give perfect description ultimate victory liberation movement including palestine look like,Positive
They’ve changed the calendar guy!,They ve changed the calendar guy,changed calendar guy,Neutral
@Cobratate address the Palestine Israel conflict,Cobratate address the Palestine Israel conflict,cobratate address palestine israel conflict,Negative
"That is the tragedy! If me and you know that, you think Israel doesn’t? But they still did it.",That is the tragedy If me and you know that you think Israel doesn t But they still did it,tragedy know think israel still,Negative
The people marching for Palestine. The Greens and the Progressives need to lead those people.,The people marching for Palestine The Greens and the Progressives need to lead those people,people marching palestine green progressive need lead people,Neutral
"""Oh yeah dw it didn't hurt my feelings"" me right after saying that bullshit",Oh yeah dw it didn t hurt my feelings me right after saying that bullshit,oh yeah dw hurt feeling right saying bullshit,Negative
Israel didn’t break the ceasefire on 7.10 I’m sorry but you can’t invade a country and slaughter more than thousand civilians and complain about the consequences of war. Not a single innocent Palestinian would have died if Hamas didn’t use them as human shields,Israel didn t break the ceasefire on 7 10 I m sorry but you can t invade a country and slaughter more than thousand civilians and complain about the consequences of war Not a single innocent Palestinian would have died if Hamas didn t use them as human shields,israel break ceasefire sorry invade country slaughter thousand civilian complain consequence war single innocent palestinian would died hamas use human shield,Negative
He literally says he posted so that “more Israelis would be able to see Palestinians as human beings” and got arrested.,He literally says he posted so that more Israelis would be able to see Palestinians as human beings and got arrested,literally say posted israeli would able see palestinian human being got arrested,Negative
